,County Code,Site Name,Site Code,State,County,City,Latitude,Longitude,Average PM 2.5,Median PM 2.5,Standard Deviation,Date of Last Change
0,037,Azusa,0002,California,Los Angeles,Azusa,34.1365,-117.92391,10.739344,10.1,6.271025,2019-03-28
15,037,Los Angeles-North Main Street,1103,California,Los Angeles,Los Angeles,34.06659,-118.22688,12.798361,10.7,8.287149,2019-03-28
17,037,Reseda,1201,California,Los Angeles,Reseda,34.19925,-118.53276,10.517757,9.5,5.925637,2019-03-28
19,037,Compton,1302,California,Los Angeles,Compton,33.901389,-118.205,13.299153,11.3,7.933339,2019-09-17
25,037,Pico Rivera #2,1602,California,Los Angeles,Pico Rivera,34.01029,-118.0685,13.557895,12.2,7.014321,2019-03-28
27,037,Pasadena,2005,California,Los Angeles,Pasadena,34.1326,-118.1272,10.34,9.0,6.226248,2020-05-15
28,037,Long Beach (North),4002,California,Los Angeles,Long Beach,33.82376,-118.18921,11.485838,9.9,7.667194,2019-09-17
29,037,Long Beach (South),4004,California,Los Angeles,Long Beach,33.79236,-118.17533,11.572455,9.8,7.691477,2019-03-28
31,037,Long Beach-Route 710 Near Road,4008,California,Los Angeles,Long Beach,33.859662,-118.200707,14.943416,13.1,9.107922,2019-04-24
46,037,Lancaster-Division Street,9033,California,Los Angeles,Lancaster,34.669739,-118.130511,7.26,6.7,4.142081,2019-04-08
