,state,Most Common Words
0,AL,"noplanetb,squirrelfromms"
1,AR,"hazards,using"
2,AZ,"earth,nature"
3,CA,"climate,environment"
4,CO,"climate,job"
5,CT,"wetlands,online"
6,DC,"cprblog,join"
7,DE,"climate,news"
8,FL,"earth,new"
9,GA,"still,amazing"
10,HI,"new,tote"
11,IA,"new,arikring"
12,IL,"earthday,many"
13,IN,"pauledawson,question"
14,KS,"made,art"
15,KY,"shossy2,joebiden"
16,LA,"projectdrawdown,want"
17,LI,"mikehudema,shenzhen"
18,MA,"environment,covid19"
19,MD,"planet,protect"
20,ME,"liar,plastic"
21,MI,"climatechange,cost"
22,MN,"climate,cost"
23,MO,"donations,array"
24,MS,"realminiaoc,want"
25,NC,"covid19,recycling"
26,NH,"new,energy"
27,NJ,"climate,globalwarming"
28,NM,"earthdayeveryday,may"
29,NV,"earth,science"
30,NY,"climate,climatechange"
31,OH,"recycle,planet"
32,OK,"science,tornado"
33,OR,"sillymickel,oxygen"
34,PA,"climate,now"
35,PH,"benstksc,usfarmers"
36,RI,"quarantine,dream"
37,RT,"irpatnih,among"
38,SC,"love,charleshernick"
39,SD,"climate,change"
40,SF,"clearbluecre,will"
41,SL,"making,month"
42,TN,"covid19,love"
43,TX,"earth,will"
44,UT,"waste,monsanto"
45,VA,"air,pollution"
46,VT,"big,milestone"
47,WA,"environment,rjs677stephan"
48,WI,"will,reclaimed"
49,WV,"journalists,reclaimed"
50,WY,"ryanintheus,watch"
